String,BWT_string
OTITBO,OTTB$IO
BNIUMP,P$NUBMI
AKSFAQZU,U$FSAAKZQ
GEDAKX,XDEG$AK
BJFVWZA,AZ$JBFVW
PVDLLV,VVDL$LP
WMYMJK,KMJYW$M
NECZJP,PENZ$JC
LFJRINV,VLRF$IJN
XJHUDA,ADUJXH$
MXOPRNQY,Y$RXONPMQ
AUJJFSNN,N$JJUNSFA
BGEJGZ,Z$GBJEG
NRTBQQDK,KTQD$QBNR
UNGLEAQA,AQELNGUA$
SXEXQO,OXQX$SE
NZSHKKZ,ZSHK$ZKN
XTRCGVD,DRVCTXG$
KPDMRJ,JPR$DKM
ICBCGHNP,PCIBCG$HN
RHVGEG,GGEVR$H
ZDRZZA,AZZDZ$R
LKRDCPW,WDRL$CKP
NDMLDBJG,GDLNJBMD$
NYSJZOQ,QS$ZOYNJ
GXNRGISQ,QR$GXSNIG
SXPMVFVL,LVVPX$MFS
FDLLUJVU,UF$UDLVLJ
CNMVXI,I$XNCMV
YYIEVYGQ,QIYYGEVY$
CQXVBO,OV$BCXQ
VUTMSVWF,FWTMUV$SV
AQXWTJU,U$TAWJXQ
QUSZDS,SZ$DUQS
PLLEWVT,TLLP$VWE
JREQCN,NQR$CEJ
SVQHAYPI,IHQPYV$SA
ENTTESXO,O$TEXETNS
KZRNWYGB,BGY$RZNWK
SFUWIN,NSWI$FU
VJYRUJ,JUVYR$J
BWEQHM,M$WQHEB
HYVWIU,U$WIYVH
ZFVKQPOJ,JZOVPQKF$
IGZQMT,TI$QZMG
TPDXRMJY,YPMRTX$DJ
GCUFPGU,UGU$PFGC
GAFYTJI,IGA$JTYF
TDUSBL,LSTBU$D
AZQGLG,G$LQGZA
PKZBKGJ,JZKGBP$K
WIKBNII,IKINWIB$
ZIIWDRGJ,JWRZIGDI$
NDEPLU,UNDP$EL
VKKQELLR,RQVKELKL$
NMPQAX,XQN$MPA
XUUDKMYO,OUDKYUX$M
TKVPAY,YPTV$KA
DXWUBSSW,WU$BSWSXD
TEHPTPD,DPTETH$P
ZGTKOVP,PZTKVGO$
PVIJND,DNVIJ$P
QTSEEO,OSEE$TQ
TEIKJL,LTEKIJ$
NYZTCYZC,CZT$ZCNYY
TNYOXEID,DIXETY$ON
OMMCNYTO,OMMOCT$YN
QHMOKOAD,DOAQOHKM$
BUXMXN,N$XXBUM
PVMUWF,FWV$MPU
YUWHHDV,VHHWYDU$
AAMEKJV,V$AMKEAJ
MYWYOMQZ,ZO$YMYWMQ
KPJGGK,KJGPG$K
UJNKGJCE,EJCKGUNJ$
CLAHUGX,XL$UACHG
SIMEHZR,RMESIZ$H
AGJQFR,R$QAGJF
GTZGXZLY,Y$ZZGGLTX
WILUBZ,ZUWIL$B
RZWTABH,HTAB$WZR
VWXYLUWG,GWYL$UVWX
HHEXDWTH,HXHTH$WDE
VUDFFR,RUDFFV$
ZYRWYPS,SYYPRWZ$
VTZYGY,YYV$GZT
IDDJVK,KID$DVJ
BUIFAUY,YF$IUBAU
REJBZUAB,BUAJRE$ZB
AGIANRS,S$IAGANR
BIEPPD,D$PIBPE
GYKLFMP,PL$YKFMG
EEGKLUNJ,J$EENGKUL
VGFUUKK,KGVKUUF$
TIUFIGZS,SUIFTZ$IG
XRQMFRIG,GMIRQRFX$
NTNBERJ,JNBRT$EN
CUHDDNS,S$HDUDNC
WQPPYP,PYQPW$P
AQWOYANY,YY$AWAQNO
JFXETBY,YTXJ$EFB
CHVUYAUF,FY$UCAVHU
FXLPUV,V$XLPUF
XGIALE,EILXGA$
EOCNNG,GO$NNCE
CHPYKDNR,R$KCYDHNP
EVOYQVSM,M$SVYVEQO
NCKGLC,CLNKCG$
FEVMNN,NF$VNME
YMLSDL,LSDMYL$
CQWLJZF,F$ZLWCQJ
QVQAHJGN,NQJAHGV$Q
EDEDWGO,OEE$DWGD
TYJSNJ,JNYSJ$T
TTAYOWN,NTWYT$OA
LPYANZ,ZY$ALPN
YFGNLA,ALYFNG$
DVRVWOXF,F$XWVDRVO
QLFXAKNW,WXLAQK$NF
LOQMVB,BV$QLOM
UQOFAHSQ,QFOAQSUH$
LAQVQZKC,CLKZ$AVQQ
NBLBAED,DBLNEAB$
PIQINURW,WQPI$IUNR
AXGFOM,M$GXOFA
YPKXYFW,WYPYFKX$
KESHWVG,GKVS$EWH
NIYNZPN,NNP$YZIN
DIWTDLWR,R$TDDWWLI
VFQALGE,EQGVLAF$
RECBYLHE,ECEHRLY$B
BIYTIOY,Y$TBIYOI
PJHOEUZ,ZOJPH$EU
LZOJHA,AHJO$ZL
OJLDGPL,LLDOPJ$G
MTWOIW,WO$WMIT
FPIUPJTY,Y$PPFUJIT
EYQBDRG,GQB$RYDE
GYPHOECA,ACEO$PHYG
ZWTSOV,VSTWOZ$
NUMNEJZI,INZEUM$NJ
TZLVKKFH,HKFKVZ$LT
ZBEBJDHN,NZEJBDBH$
FUZBLERU,UZL$BERFU
OKZDAJVY,YDZAO$JVK
KXUYMT,T$YMXKU
CXOVNM,M$NVXOC
EAPOYI,IE$YPAO
JAIKXCOG,GJXOA$ICK
AXGLPF,F$PXGLA
GYTMQFD,DFQ$TMYG
CBSAPCRL,LSC$PRACB
QSWYVAE,EVA$QYSW
MQVULGOV,VLU$GMVOQ
PYDDPD,DPYDD$P
UERVBBLT,TVBUBEL$R
LAOVXS,SL$AXOV
XUFLHDW,WHULFXD$
HYLRMHF,FHM$YRLH
MJEAVLJX,XEJMLV$AJ
MAJXQQI,IMQA$QXJ
BTQCSA,AS$QTCB
AVGEWKRA,AR$GVWKAE
ZMABMKI,IMAKMZB$
GQIENZD,DZI$QEGN
YJCBPEY,YCJPYBE$
NSRINPX,XRI$NSNP
ENBTAXG,GTN$XEBA
LYRERP,PR$RYEL
AZBOCRK,K$ZORBCA
NNNYASBU,UYS$NNABN
XTSWBZBY,YZWTXS$BB
YTEYTV,VTYYT$E
OUHDRBB,BBRHU$DO
NLUUNV,VN$UULN
DJLYPW,W$DJYPL
ZWGIAWG,GIWWGAZ$
VUTKTFQ,QTTFKUV$
YYVXBW,WXYBVY$
MPJMCZQ,QMPJ$MZC
ZFIXHM,MZXFHI$
SAVSGR,RSSG$VA
LHQAZSV,VQL$HZSA
XHABEAVW,WHEABXAV$
SZPLTV,VPZ$LTS
PEXDEGKG,GXDPKEG$E
ORIPMEPO,OMRPP$IEO
JUETEQA,AQTU$EEJ
CMPYOX,X$CYMOP
LIMMITQ,QLM$MITI
EECJUCWS,SEUE$CWJC
PCULYGEY,YPGYU$CEL
DPWYCXY,YY$DPCXW
ESFAGWE,EFW$SAEG
TFHKKOI,ITFOHKK$
XAQRYGP,PXYGAQ$R
PHSLXJKF,FKPXJS$HL
QOERJWVI,IOVRQ$EWJ
XJQOTHK,KTXHQJO$
LJXZNOA,AOL$ZNJX
VTRJAY,YJRTV$A
